form,smiles,MW,logP,HBD,HBA,QED,lipinski_pass
full,CSCC[C@@H](CC#N)NC(=O)C1C[C@@H]1NC(=O)C(Cc1ncn(C)c1C(C)=O)NS(=O)(=O)c1ccc(F)cc1,578.7,1.31,3,8,0.283,0
full,C[C@H]1C[C@@H](C(NC(=O)c2ccc(C(F)(F)F)cc2F)C(=O)NCc2cccc(C(F)(F)F)c2)C[C@@H]1O,520.4,4.69,3,3,0.484,0
full,N#CC(NC(=O)OCc1ccccc1)[C@@](CCc1ccccc1)(CC1CCCCC1)C(=O)NC1CCS(=O)(=O)C1,565.7,4.7,2,6,0.407,0
full,C[C@H](NC(=O)C(CCCCc1ccc(S(C)(=O)=O)cc1)NC(=O)OCC(C)(C)C)c1ccccc1C#N,527.7,4.69,2,6,0.408,0
full,N#C[C@H](Cc1ccc(C(F)(F)F)cc1)NC[C@H](Cc1ccc(N2CCOCC2)cc1)NC(=O)c1cc2ccccc2o1,576.6,5.35,2,6,0.265,0
full,CC(=O)NC(CCc1ccccc1)C(=O)N[C@H](c1ccccc1)[C@H](C)NC(=O)OCc1ccccc1S(C)(=O)=O,565.7,3.7,3,6,0.307,0
full,CC(C)C(NC(=O)COCc1ccccc1)C(=O)NC#N,289.3,0.94,2,4,0.577,1
full,CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)C(F)(F)c1ccccc1)C(=O)c1ccccc1,510.6,4.63,2,4,0.349,0
full,Cc1ccc(COC(=O)NC(CCn2cc3c(n2)NC(=O)CCC3)C(=O)NCc2ccccc2)cc1,489.6,3.47,3,5,0.426,1
full,CC(C)C(NC(=O)OCCc1ccc(Br)cc1)C(Cc1ccccc1F)NC(=O)C#N,490.4,4.13,2,4,0.518,1
full,N#CCNC(=O)c1ccc([C@H](CC#N)NC(=O)COc2ccc(-c3ccccc3)cc2)cc1,438.5,3.76,2,5,0.494,1
full,CCOc1ccccc1C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C)(C)C#N,432.5,1.13,4,6,0.413,1
full,C=CC[C@H](Cc1ccc(F)cc1)NC(=O)C(NCC(=O)C1(C#N)CC1)c1ccc(-c2ccc(F)cc2)cc1,513.6,5.44,2,4,0.316,0
full,N#Cc1ccccc1CC(NC(=O)C1[C@H](c2ccccc2)CN1C(=O)C(O)CC1CCCCC1)C(=O)O,503.6,3.0,3,5,0.482,0
full,CC(C)c1ccccc1NC(=O)C(NC(=O)OC(C)(C)C)C(=O)C1(C#N)CCC1,399.5,3.9,2,5,0.705,1
full,Cc1scc2c1C(C(C)(C)N=C(N)N1CCOCC1)=N2,292.4,1.92,1,4,0.669,1
full,CC(C)CC(NC(=O)S(=O)(=O)c1cc(F)cc(F)c1F)C(=O)N[C@H](C#N)c1cccc(Cl)c1,501.9,4.04,2,5,0.555,0
full,CC(C)C[SH](N)(=O)C(=O)NC(=O)C(CCc1ccccc1)NC(=O)OCc1ccccc1,461.6,2.7,4,5,0.427,1
full,C[C@H](/C=C/c1ccc(F)cc1)OC(=O)NC(Cc1ccccc1)C(N)=O,356.4,3.05,2,3,0.8,1
full,CC(C)(C)OC(=O)C1C(=O)C(OC(=O)Nc2ccccc2)N1S(=O)(=O)c1ccccc1C(F)(F)F,514.5,3.56,1,7,0.479,0
full,C=C(F)[C@H](CC(C)C)NC(=O)C(CC(C)C(C)C)NC(=O)C(Cc1ccccc1)NC(=O)Oc1ccccc1,539.7,5.57,3,4,0.293,0
full,CC(C)CC(N)C(C#N)NC(=O)Cc1ccc(-c2ccccc2)cc1,335.5,3.28,2,3,0.815,1
full,CCOC(=O)OC[C@H](CC(C)C)NC(=O)C1C[C@H]1NC(=O)CCl,348.8,1.43,2,5,0.485,1
full,N#CC(N[C@H](/C=C/c1ccc2cccc(F)c2c1)Cc1ccccc1)C(=O)C(F)(F)F,426.4,5.22,1,3,0.528,0
full,CCCCCCC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnn(C)c1-c1ccccc1)C(=O)OCc1ccccc1,580.7,5.63,2,5,0.14,0
full,N#CCNC(Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)Cc1ccc2ccccc2c1,447.6,4.83,2,3,0.342,1
full,CCCCOC(=O)NC(CC(C)C)C(=O)NC(CSCc1ccccc1)C(=O)NCCc1ccccc1,527.7,4.7,3,5,0.275,0
full,COC(=O)NC[C@H](Cc1cccc(C2CC2)c1)NC(=O)C(=O)N[C@@H](C(C)C)C1CCCCC1,457.6,3.67,3,4,0.493,1
full,CC(C)C[C@@H](COCC#N)NC(=O)C(Cc1cccc(Br)c1)C(F)(F)F,435.3,4.24,1,3,0.591,1
full,N#C[C@H](CNC(=O)NCCc1ccccc1)Oc1ccc(Cl)cc1CS(=O)(=O)N1C[C@@H]2CCC[C@H]2C1,531.1,3.71,2,5,0.486,0
full,COC(=O)NC(CCS(=O)(=O)c1cccc(Br)c1)C(=O)NCc1ccc(Cl)c(C(F)(F)F)c1,571.8,4.33,2,5,0.491,0
full,C[C@H](NC(Cc1cccc(Cl)c1)C(N)=O)c1ccccc1,302.8,3.09,2,2,0.861,1
full,CCn1cc(-c2cc(NC)nc(C3(C#N)CC3)n2)cn1,268.3,1.96,1,5,0.916,1
full,C=CCOCC(NC(=O)C(CC(C)C)NC(=O)NC(=O)c1ccccc1)C(=O)Nc1ccccc1,480.6,2.87,4,5,0.275,1
full,CC(C)CC(=NC(=O)OCCc1ccccc1)C(=O)NC(Cc1ccccc1)Cc1ccccc1,470.6,5.82,1,3,0.359,0
full,CCC(NC(=O)C/C=C/S(=O)(=O)c1ccccc1CNC(=O)OC(C)(C)C)C(=O)NC(c1ccccc1)C(F)(F)F,597.7,4.7,3,6,0.344,0
full,CO[C@H]1CCCN1C(=O)C1CN(C(=O)C(N)CC(C)C)C2C(=O)c3ccc(C(C)C)cc3[C@@H]12,455.6,2.89,1,5,0.712,1
full,CC(C)C(NC(=O)Cc1ccccc1)C(=O)N1CCCCC1S(=O)(=O)CN(C(=O)Cc1cc(F)cc(F)c1)c1ccccc1,625.7,4.63,1,5,0.335,0
full,COC(=O)/C=C/C(=O)C(Cc1cccs1)NC(=O)C(CCc1ccccc1)NC(=O)OCc1ccccc1,534.6,4.0,2,7,0.253,0
full,COC(=O)N1[C@H](COC(=O)NC(CC#N)C(=O)Nc2cccc(-c3ccccc3)c2)[C@@H]2C[C@H]21,448.5,3.14,2,6,0.671,1
full,CCC(=O)OCCNC(=O)C(N)Cc1ccccc1,264.3,0.63,2,4,0.559,1
full,CCCN(C)C(=O)c1cc(CC(NC(=O)COCc2ccccc2)C(=O)N[C@H](C#N)Cc2ccccc2)cs1,546.7,3.73,2,6,0.32,0
full,N#CC1(NC(=O)c2cc(Cl)ccc2C(F)(F)F)CC1,288.7,3.14,1,2,0.909,1
full,CC[C@H]1CN(S(=O)(=O)CCc2ccccc2)Cc2ccccc2S(=O)(=O)C1C(=O)N[C@H](C#N)Cc1ccccc1,579.7,3.49,1,6,0.414,0
full,NC(N)=NCCCC(CCn1c(=O)[nH]c2ccccc21)NC(=O)c1ccccc1,394.5,1.57,4,3,0.249,1
full,CC[C@@H]1O[C@@H]1NC(=O)C(CCc1ccccc1)CC(=NC(=O)OCc1ccccc1)C(=O)NCCc1ccccc1,555.7,5.01,2,5,0.215,0
full,C[C@@H](C#N)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccc(-c2ccccc2)cc1,427.5,4.22,2,4,0.563,1
full,COC(=O)C(COCc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCCCNC(=O)C(NC(=O)N1CCCCC1)C(C)C,633.8,2.73,4,8,0.15,0
full,COc1ccc(CC(C(=O)N[C@@H](Cc2cc(C#N)ccc2OC)C[C@@H](C#N)NC(=O)OCc2ccccc2)C(C)C)cc1Br,661.6,6.09,2,7,0.214,0
full,C#CC(CC#N)NC(=O)C(Cc1ccccc1)N[C@@H](C)C(C)NC(=O)c1ccc(F)cc1OC,464.5,2.57,3,5,0.444,1
full,CC(C)(C)OC(=O)C(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(=O)NC(CCC(=O)O)C(=O)O,498.5,2.16,4,6,0.286,1
full,N#CN(Cc1ccc2c(c1)OCO2)C(=O)C1(c2ccc(-c3cccs3)cc2)CCC1,416.5,5.08,0,5,0.43,0
full,CC[C@H](CCc1ccccc1)NC(=O)C(Cc1cccs1)NC(=O)C#N,369.5,2.83,2,4,0.667,1
full,N#Cc1ncc(-c2ccc(F)cc2)c(N2CCC(c3ccccc3)C2)n1,344.4,4.15,0,4,0.716,1
full,CCCC(NC(=O)CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)CN1CCOCC1,561.7,2.95,4,5,0.242,0
full,CC(C)CC(NC(=O)C(Cc1ccccc1)C(F)(F)F)C(Cc1ccccc1)NCC#N,445.5,4.66,2,3,0.495,1
full,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C(=O)NC1(C#N)CC1)CC21CCN(C)CC1,425.5,1.74,2,6,0.713,1
full,N#CN1CCN(CCS(=O)(=O)CCCOc2cccc(-c3ccccc3)c2)CC1,413.5,2.64,0,6,0.465,1
full,CS(=O)(=O)C(CC(=O)O)NC(=O)C(CSc1ccc(C(F)(F)F)cc1)NCC1CCCC1,496.6,2.91,3,6,0.404,1
full,CC(C)CC(=NOCCc1cc(Br)cc(-c2ccccc2)c1)C(=O)NC(CC(C)C)C(=O)N[C@@H]1CC(=O)O[C@H]1C,614.6,5.43,2,6,0.136,0
full,O=C(NCc1ccccc1)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(F)(F)F,497.5,3.32,3,3,0.402,1
full,N#CCNC(=O)C(Cc1ccccc1)NC(=O)C1CCCCN1C(=O)OC1CCCCC1,440.5,2.68,2,5,0.633,1
full,COc1cc(CC(=O)N2Cc3ccccc3/C2=C\COC(=O)N[C@@H](Cc2ccccc2)C(C)C)ccc1F,516.6,5.75,1,4,0.393,0
full,Cc1nccn1-c1ccc(NC(=O)C2(OC(=O)N[C@H](CC#N)[C@@H]3CCc4c(C#N)cccc43)CCCCC2)cc1,536.6,5.43,2,6,0.414,0
full,CC(C)CC(NC(=O)OCN(CC(=O)O)Cc1ccc(F)cc1F)C(=O)NCCNC(=O)c1noc(-c2ccccc2)n1,602.6,2.55,4,9,0.149,0
full,COC(=O)C(=O)N[C@H](C=C(C#N)c1ccccc1)NC(=O)C1NC[C@@H]1c1cc(F)ccc1F,454.4,1.36,3,6,0.262,1
full,CC(=O)C[C@H](C#N)NC(=O)C1Cc2sc(Br)c(C(=O)OC(C)(C)C)c2C1,441.3,3.17,1,6,0.709,1
full,CCOC(=O)Cn1c(-c2ccc(C=CC(C)=O)c(OC)c2)nc(NC(=O)OC)c1C(F)(F)F,469.4,3.92,1,7,0.461,1
full,CC(C)CC(C(=O)NC1CCNC1=O)N(C#N)C(=O)OCc1ccccc1,372.4,1.53,2,5,0.557,1
full,N#Cc1cccc(OCC2CCCCC2)n1,216.3,2.91,0,3,0.78,1
full,CC(C(=O)N[C@@H](CC#N)c1cccc(-c2ccc(-c3nnn(C)n3)cc2)c1)c1ccc(OCC(F)(F)F)cc1F,552.5,5.5,1,6,0.275,0
full,O=C(N[C@@H](Cc1ccccc1)C(F)(F)F)C(CC1CCCC1)NC(=O)C(CC(F)(F)F)NC(=O)C1NC1=O,550.5,2.28,4,4,0.192,0
full,CC[C@H]1C[C@@H]1COC(=O)c1cccc(-c2cccs2)c1,286.4,4.62,0,3,0.75,1
full,CCC(NC(=O)C(NC(C)=O)C(C)C)C(=O)NCc1ccc(C#N)cc1,358.4,1.23,3,4,0.649,1
full,CCC[C@H]1CC[C@H]2COc3ccc(C#N)cc3[C@@H]12,241.3,3.86,0,2,0.787,1
full,CC[C@@H]1[C@@H](CNC(=O)OCc2cccc(C#N)c2)[C@@]1(N)C#N,298.3,1.66,2,5,0.858,1
full,N#CCNC(=O)C1(OCc2ccccc2)CC[C@@H](CC#Cc2ccc(-c3ccc(-c4ccccc4)cc3)cc2F)N1,543.6,6.21,2,4,0.205,0
full,N#Cc1ccnc(N=NC(=O)c2ccccc2)n1,237.2,2.27,0,5,0.749,1
full,N#CC(Nc1csc(-c2ccccc2)n1)c1ccc(N2CCOCC2)cc1,376.5,4.32,1,6,0.718,1
full,COC(=O)NC(Cc1ccccc1)C(=O)NC(=O)NCCOC(=O)C(C)(C)C,393.4,1.37,3,6,0.475,1
full,N#Cc1cc(-c2ccccc2-c2cccs2)cc2c1O[C@H](COC(=O)NCc1ccccc1)C2,466.6,6.18,1,5,0.368,0
full,CC(C(=O)NC1CCN(C)CC1)C(C(=O)NCC#N)C(NC(=O)OCc1ccccc1)c1cccc(Br)c1,584.5,3.52,3,6,0.368,0
full,CC(C)CC(NC(=O)C(=O)N(C)C)C(=O)NC(CC(C)C)C(=O)NC1CSC1,414.6,0.37,3,5,0.473,1
full,CC(C)[C@@H](NC(=O)C(CC#N)NCCOCc1ccccc1)c1ccccc1,379.5,3.59,2,4,0.585,1
full,CCC(NC(=O)OCC(C)(C)C)C(=O)C(CC1CCCCC1)NC(=O)c1coc(-c2ccccc2)n1,497.6,5.53,2,6,0.446,0
full,COc1ccccc1C(=O)NC(C(=O)NCCc1ccc(F)cc1F)C(C)(C)C,404.5,3.48,2,3,0.743,1
full,CCCCc1cc2cc(-c3ccc(C[C@@H](CC(=O)O)NC(=O)N(C)C(C)(C)C)cc3)ccc2[nH]c1=O,491.6,5.36,3,3,0.375,0
full,CS(=O)(=O)CCC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)N[C@H]1COc2ccccc21,579.7,2.69,3,7,0.3,0
full,O=C(CS(=O)(=O)c1ccccc1)C(Cc1ccccc1)NCc1cccc(C(F)(F)F)c1,461.5,4.45,1,4,0.512,1
full,C=CCOC(=O)NC(CC(C)C)C(=O)NC(Cc1cccs1)C(=O)Nc1ccc2c(c1)OCO2,487.6,3.47,3,7,0.418,1
full,CC(NC(=O)OCCc1ccccc1)[C@@H](CCc1ccccc1)C(=O)NC(=O)OCc1ccccc1,488.6,5.05,2,5,0.394,0
full,CCOC(=O)c1ccc(CC(NC2CC2)C(C#N)NC(=O)Cc2cccc3ccccc23)cc1,455.6,3.93,2,5,0.452,1
full,CC(C)CC(=CC#N)C(=O)NC1CCc2ccccc2CC1C(=O)NC(CC(=O)O)C(C)(C)C,467.6,3.78,3,4,0.305,1
full,CC(C)C(NC(=O)C(F)c1ccccc1)C(=O)N=C/C=C/c1ccc(F)cc1,384.4,4.29,1,2,0.724,1
full,CC(C)CC(NC(=O)OCCCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1,530.7,5.23,2,5,0.22,0
full,N#Cc1cccc(NC(=O)OCc2ccccc2)c1,252.3,3.31,1,3,0.911,1
full,N#Cc1ccn(CCNC(=O)C(Cc2ccccc2)c2cc(C(F)(F)F)c(F)cc2F)n1,448.4,4.19,1,3,0.551,1
full,CCCC(NC(=O)C(NCCc1ccccc1)C(=O)C(F)(F)F)C(=O)O,374.4,1.69,3,4,0.542,1
full,CCOC(=O)NC(=O)C(NC(=O)c1cccc(OC)c1)C(C)C,322.4,1.72,2,5,0.832,1
full,CSCC[C@H](CSCCCOC(C)=O)NC(=O)C(CO)NC(=O)OCc1ccccc1,472.6,2.2,3,8,0.263,1
full,C=C(C#N)/C=C/c1ccc(-n2c(=O)oc3c(OC)cccc32)cc1,318.3,3.69,0,4,0.543,1
full,O=C(NC(COCC1CCCCC1)C(=O)NCCc1ccccc1)OCc1ccccc1,438.6,4.24,2,4,0.55,1
full,CSCC(NC(=O)OCCC(C)C)C(=O)C(CC(C)C)NC(=O)c1cscn1,429.6,3.36,2,7,0.529,1
full,O=C(O)CC(NC(=O)Cc1ccccc1)C(=O)NCN(CC1CCCC1)C(=O)Cc1ccccc1,479.6,2.52,3,4,0.405,1
full,CC(C)C[C@@H](NC(=O)c1ccc(Cl)cc1)NC(=O)c1ccc(Cl)c(Cl)c1,413.7,5.18,2,2,0.641,0
full,Cn1nc(C#N)c2ccsc21,163.2,1.51,0,3,0.59,1
full,N#CNc1ccc(C(=O)c2ccc(OCc3ccccc3)cc2)cc1,328.4,4.39,1,4,0.414,1
full,CC(C)COC(=O)NC(Cc1ccccc1)C(=O)NC(=O)OCc1cccc(Br)c1,477.4,4.2,2,5,0.595,1
full,Cn1cc(-c2cc(C#N)sc2-c2cc(-c3ccc(CC4(C#N)CC4)cc3)n(C)c(=O)c2)cn1,451.6,4.9,0,5,0.432,1
full,Cc1nnc(-c2ccc(C[C@@H](NC(=O)OC(C)(C)C)C(C)C)c(/C=C/C(=O)NCC#N)c2)o1,453.5,3.79,2,7,0.459,1
full,Cc1cccc(COC(=O)NCC2C(=O)OC2(C)C(N)=O)c1,306.3,0.64,2,5,0.776,1
full,O=C(N[C@@H]1CCC(c2ccccc2)C1)C(CS(=O)(=O)CC1CCCCC1)N1C(=O)C(COCc2ccccc2)=C[C@H]1O,594.8,4.11,2,6,0.383,0
full,C=C(C)C(=O)NC(C(=O)CC(F)(F)F)C(=O)NC(Cc1cccc(C)c1)C(=O)OCc1ccccc1,504.5,3.35,2,5,0.278,0
full,CC(C)(NS(=O)(=O)CCCS(=O)(=O)c1ccc(Cl)cc1C(=O)NCC#N)c1ccccc1,498.0,2.61,2,6,0.485,1
full,CC(C)(C)OC(=O)C(Cc1ccccc1)C(=O)[C@]12CC[C@H]1[C@@H]2C#N,325.4,3.31,0,4,0.615,1
full,CC(C)CC(NC(=O)C(CC#N)c1ccc(-c2ccccc2)cc1)C(=O)c1ccc(-c2ccccc2)cc1,500.6,7.43,1,3,0.23,0
full,CCCCCc1nc2cc(C#N)ccc2n1-c1ccc(-c2ccccc2)cc1,365.5,6.3,0,2,0.376,0
full,CC(=O)C(Cc1ccccc1)C(=O)NC(=O)C(Cc1cccc(Br)c1)NC(=O)OCC(C)C,517.4,3.83,2,5,0.467,0
full,CC(C)C[C@@H](COc1ccc(F)cc1)NC(=O)OCC1(C#N)CC1,334.4,3.65,1,4,0.788,1
full,COc1cccc(CCNC(=O)c2ccc(COC(=O)NC(C(C)C)C3CCNC3=O)cc2)c1,467.6,3.05,3,5,0.498,1
full,COc1ccccc1C(=O)N[C@H]1c2cc(Cl)ccc2OCC[C@H]1CNC(=O)c1ccccc1Cl,499.4,5.3,2,4,0.483,0
full,CC(C)(C)CNC(=O)O[C@@H]1CC=CC[C@H]1C#N,236.3,2.62,1,3,0.75,1
full,CN(C#N)C(=O)C(Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,355.4,4.32,1,3,0.529,1
full,CC(C)CN(CCOCc1ccccc1)C(=O)C(NC(=O)C(=O)N[C@@H](C)c1ccccc1)C1CCCCC1,521.7,4.63,2,4,0.315,0
full,COC(=O)NC(Cc1ccccc1)C(=O)C(C)C,249.3,2.18,1,3,0.87,1
full,CC(C)CC(C(=O)NNC(O)C1[C@H](NC(=O)OCc2ccccc2)CCN1C=O)c1ccccc1,482.6,2.28,4,6,0.222,1
full,CCCNC(=O)c1ccc(Oc2ccc(Cl)cc2Cl)cc1C(F)(F)F,392.2,5.94,1,2,0.684,0
full,CC(C)CC(NC(=O)c1ccc(N)cc1)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC#N,695.9,3.04,6,7,0.087,0
full,CC[C@H](C)C(NC(CC(C)C)C(=O)NC(C(=O)N1CCCCC1C(=O)O)C(C)C)C(=O)C(NC(=O)c1ccccc1)c1ccccc1,648.8,4.75,4,6,0.206,0
full,O=C(/C=C/c1cc(OCC(F)(F)F)cc(C(F)(F)F)c1)N1Cc2c(Cl)cccc21,435.8,5.86,0,2,0.445,0
full,CCCNC(=O)C(CC(C)C)Oc1ccc2ccccc2c1O,315.4,3.87,2,3,0.815,1
full,COc1ccc(C(=O)N2CC(C#N)(NC(=O)CNC(C(F)(F)F)C(F)(F)F)C[C@@H]2C)cc1,466.4,2.39,2,5,0.628,1
full,CC(C)C[C@@H](CF)NCc1ccc(C(=O)C2CN(C(=O)CF)CC(=O)N2)cc1OC(F)(F)F,479.4,2.54,2,5,0.398,1
full,CC(C)Cc1cccc(S(=O)(=O)CCNC(=O)C(N[C@@H](CC(C)C)C(C)C)C(=O)NC2CC2)c1,493.7,3.08,3,5,0.346,1
full,Cc1ccccc1COC(COC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1C,517.7,6.11,1,5,0.311,0
full,Cc1onnc1-c1ccc(OCC(N[C@H](C#N)CC2CCCCC2)C(=O)Nc2cc(F)ccc2OCC2CCOCC2)cc1,605.7,5.83,2,9,0.247,0
full,CCOC(=O)NC(C#N)c1ccccc1C,218.3,2.31,1,3,0.846,1
full,CC(C)CC(=NC(=O)OCc1ccccc1)C(=O)NC(C)C(=O)c1ccccc1,394.5,4.2,1,4,0.537,1
full,CSCC(=O)N=C(Cc1ccccc1)C(=O)NCC(NC(=O)OCc1c[nH]c2ccccc12)c1ccccc1,542.7,4.82,3,5,0.235,0
full,CC(OC(=O)N[C@@H](C)c1ccccc1)C(=O)NCCc1ccccc1,340.4,3.22,2,3,0.813,1
full,CC(C(=O)N[C@H]1Cc2cn(C(C)C)nc2[C@@H](Cc2ccccc2)C1)c1nc2ccccc2[nH]1,441.6,4.9,2,3,0.447,1
full,CCOC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)c1ccccc1)C(=O)NCc1ccccc1)C(C)C,552.7,2.34,4,6,0.209,0
full,CC(C)CC(NC(=O)Cc1cc(F)c(OCC2CC2)cc1F)C(=O)NCCc1ccc(F)cc1F,494.5,4.46,2,3,0.428,1
full,CC(C)(C)C(=O)N(CCOC(=O)NCc1ccccc1)C(=O)/C=C/C(=O)NCc1ccccc1,465.6,3.19,2,5,0.554,1
full,CC(C)[C@@H](C#N)NC(=O)N1c2ccccc2CCc2cc3cc(C(=O)NCC(=O)OCc4ccccc4)sc3n21,555.7,4.8,2,6,0.318,0
full,CC(C)CCOC(=O)NC1(C(=O)C(CSCc2ccccc2)NC(=O)C(Cc2ccc(Cl)cc2)C(F)(F)F)CC1,599.1,6.35,2,5,0.265,0
full,CSCCC(C#N)NC(=O)C(CC#CC1(C)CCCCC1)C(=O)OCc1ccccc1,440.6,4.47,1,5,0.348,1
full,N#CC1(NC(=O)C(Cc2cc3ccccc3o2)NC(=O)c2c[nH]c3ccccc23)CC1,412.4,3.43,3,4,0.45,1
full,CC(C)CC(C(=O)Nc1cc(-c2ccccc2)ccc1CC#N)C(=O)N[C@H](C#N)Cc1ccccc1,478.6,5.27,2,4,0.387,0
full,CC(C)(C)OC(=O)NCCNC(=O)OCc1ccccc1,294.4,2.44,2,4,0.818,1
full,O=C(CCOCc1ccccc1)NC(=O)C(CCc1ccccc1)NC(=O)C(Cc1cccs1)NC(=O)C(F)(F)F,589.6,3.71,3,6,0.248,0
full,CC(NC(C(=O)Nc1ccccc1C(=O)NC=O)C(C)C)C(=O)N(C)C#N,373.4,0.45,3,6,0.344,1
full,COc1cccc([C@@H](CC#N)NC(=O)C(NC(=O)C2CN[C@@H]2c2cccc3ccccc23)c2ccccc2)c1,518.6,4.74,3,5,0.297,0
full,CC(C)[C@@H](Cc1ccccc1)NC(=O)COc1cccc2ccccc12,347.5,4.6,1,2,0.678,1
full,C[C@H](COc1ccc(C(F)(F)F)cc1)N(CC#N)CC1CCCCC1,354.4,4.88,0,3,0.655,1
full,COc1ccc(-c2[nH]nc3cc(Cl)c(Cl)cc23)cc1,293.2,4.55,1,2,0.753,1
full,CC(C)CC[C@@H](CCCNC(=O)c1ccccc1)NC(=O)C(CC(C)C)NC(=O)c1c[nH]c2ccccc12,518.7,5.44,4,3,0.214,0
full,N#CCNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(F)(F)F,446.4,1.64,3,4,0.509,1
full,N#CCNC(CCCOCc1ccccc1)C(=O)OCc1ccccc1,352.4,3.21,1,5,0.382,1
full,CC(C)C(NC(=O)N1CCOCC1)C(=O)NC(C#N)CC#N,307.4,-0.03,2,5,0.739,1
full,CC(C)OC(=O)C(C#N)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccc(-c2ccccc2)cc1,499.6,4.15,2,6,0.405,1
full,O=C(NC(Cc1cccc(Br)c1)C(=O)N1C[C@@H]2CCCC[C@H]2C1)OCc1ccccc1,485.4,4.94,1,3,0.631,1
full,NC(=O)C(CSCC(NC(=O)C1CCCCC1)C(=O)OCc1ccccc1)NC(=O)CC(=O)c1ccccc1,553.7,2.77,3,7,0.185,0
full,CCOC(=O)NC(CCc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)c1ccccc1,497.6,3.21,4,5,0.336,1
full,N#CC[C@H](Cc1ccccc1)NC(=O)c1ccccc1,264.3,2.94,1,2,0.902,1
full,N#CNC(=O)C(Cc1cccc(Br)c1)NC(=O)c1c[nH]c2[nH]c3ccccc3c12,450.3,3.35,4,3,0.276,1
full,Cc1ccc(C(=O)NC(C)C(=O)NCC#N)cc1,245.3,0.75,2,3,0.768,1
full,CC(C)CC(NC(=O)O[C@@H]1Cc2ccccc2S(=O)(=O)C1)C(=O)NC(=O)OCc1ccccc1,488.6,2.98,2,7,0.613,1
full,O=C(NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)OCCc1ccccc1,416.5,3.52,2,4,0.588,1
full,CC(C)CC(C(=O)NCC#N)C(=O)N[C@@H]1Cc2ccc(-c3ccccc3)cc2C1,389.5,3.24,2,3,0.563,1
full,CCCS(=O)(=O)C=C(O)CNC(=O)C(CC1CCCCC1)NC(=O)Cc1ccc(F)cc1,468.6,3.16,3,5,0.432,1
full,Cc1c(C(F)(F)F)nc2cc(OC3CN(C#N)C3)ccc2c1-c1cccc([C@H](O)C(F)(F)F)c1,481.4,5.37,1,5,0.401,0
full,CC(=O)NC(=O)CCCC[C@H](Cc1ccc2ccc(C3(C)CC3)cc2c1)NC(=O)CCS(=O)(=O)c1ccccc1,562.7,5.01,2,5,0.285,0
full,CCCCOC[C@H](CC(C)C)NC(=O)C(Cc1ccccc1)NC(C(=O)NC1(C#N)CC1)C(C)C(=O)O,514.7,2.8,4,6,0.234,0
full,N#C[C@@H]1c2ccccc2C[C@H]1NC(=O)c1nc(-c2ccc(Cl)cc2)co1,363.8,3.96,1,4,0.764,1
full,CC(C)N1C(=O)OC[C@@H]1C(NC(=O)C(=O)OCc1ccccc1)C(=O)NCc1cn(C)c2ccccc12,506.6,2.25,2,6,0.357,0
full,O=C(NC(CCc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1CSC1CCCCC1)OCc1ccccc1,522.8,6.66,2,4,0.346,0
full,O=C(OCc1ccccc1)C1CCCN1S(=O)(=O)c1ccccc1,345.4,2.58,0,4,0.782,1
full,CC(NC(=O)OCc1ccccc1)C(=O)N[C@H]1CC(=O)c2cc(-c3ccc(C(F)(F)F)cc3)ccc21,496.5,5.43,2,4,0.477,0
full,CC(C)C(NC(=O)Oc1ccccc1)C(=O)OCCc1ccccc1,341.4,3.59,1,4,0.782,1
full,CC(C)C(N[C@@H]1[C@H](NC(=O)OCCc2ccccc2)CCS1(=O)=O)C(=O)NCc1cc(F)cc(F)c1,523.6,2.68,3,6,0.441,0
full,CC(=O)NC(Cc1ccccc1)C(=O)NCC(C#N)(Cc1ccc(F)cc1)N1CCN(c2ccccc2)CC1,527.6,3.32,2,5,0.422,0
full,CC(C)CC(CNC(=O)C1CCCCC1)C(=O)NCC#N,293.4,1.98,2,3,0.704,1
